train_acc,train_loss,train_time
0.08488,0.03127218580722809,187.34291315078735
0.19706,0.0256881357383728,187.51139092445374
0.2872,0.021874884662628175,187.56677103042603
0.34554,0.019409949915409088,187.55009269714355
0.39668,0.017639345877170563,187.57201433181763
0.43542,0.016258283224105836,187.47484421730042
0.46426,0.015221084606647492,187.53840732574463
0.49012,0.014456061143875123,187.39261889457703
0.50894,0.013842128076553344,187.50738096237183
0.5218,0.013411773054599762,187.51650643348694
0.533,0.013070731003284455,187.5627522468567
0.54604,0.012672020630836486,187.42338705062866
0.55638,0.012350977733135223,187.3256711959839
0.5647,0.01210843671798706,187.53258275985718
0.56766,0.011967377469539643,187.31028175354004
0.57802,0.011698928089141846,187.52207779884338
0.58508,0.011521741962432861,187.66852450370789
0.58986,0.011363602905273438,187.63272333145142
0.59392,0.01123965684056282,187.53048133850098
0.59954,0.011048534920215607,187.6011083126068
0.60336,0.010920031373500824,187.53955721855164
0.60608,0.010879678754806518,187.5569293498993
0.6075,0.010762589073181152,187.58169412612915
0.61382,0.010643315373659134,187.6071834564209
0.61706,0.010546351079940796,187.56131172180176
0.61958,0.010436027600765228,187.65459275245667
0.61804,0.010502710016965866,187.6274449825287
0.62386,0.010331155809164046,187.60489869117737
0.6264,0.010296643441915512,187.5615954399109
0.62682,0.010192301852703095,187.4849774837494
0.62986,0.010169909749031068,187.56780290603638
0.62916,0.010187722504138947,187.54019570350647
0.6332,0.010052171524763107,187.51086378097534
0.63244,0.010042549476623535,187.64345145225525
0.6392,0.009890426837205887,187.6807131767273
0.63658,0.00997096156358719,187.63845872879028
0.63648,0.009972834378480911,187.48946332931519
0.64294,0.00983308106660843,187.50746178627014
0.63866,0.009849254635572433,187.5300738811493
0.64146,0.009826974053382873,187.56014347076416
0.64006,0.009829775558710098,187.49682879447937
0.64536,0.009669038475751877,187.5167269706726
0.64398,0.00969947700381279,187.5130054950714
0.64292,0.009795275477170944,187.53508114814758
0.64486,0.009693166414499283,187.51108813285828
0.64952,0.009593120268583298,187.47464108467102
0.64508,0.009671573145389557,187.5228569507599
0.64854,0.00960627113699913,187.64045524597168
0.6495,0.009615895907878876,187.6617193222046
0.64958,0.009554980136156082,187.42160391807556
0.65102,0.009528654164075851,187.53357005119324
0.65154,0.009502036389112473,187.34692668914795
0.64952,0.009551223820447922,187.5127992630005
0.6528,0.009459776992797852,187.45829367637634
0.6518,0.009490231964588165,187.45615649223328
0.6534,0.009419229437112809,187.45346546173096
0.65172,0.009478662791252136,187.4579689502716
0.65734,0.00936707102894783,187.54787921905518
0.6568,0.00937934668302536,187.55705666542053
0.78972,0.005585611419677734,187.54816055297852
0.82436,0.0045857744628191,187.42223477363586
0.84284,0.004124608239531517,187.39557576179504
0.85118,0.003882900913953781,187.6433503627777
0.8603,0.003612431512773037,187.56936693191528
0.86532,0.0034776889461278914,187.47269988059998
0.87018,0.0033471240347623826,187.37896490097046
0.86938,0.0032966385093331336,187.34533834457397
0.87442,0.0032099999198317527,187.5542573928833
0.876,0.003146595280766487,187.50813341140747
0.87736,0.0031522068232297897,187.43925261497498
0.8778,0.0031055885726213456,187.53407049179077
0.87956,0.003093364996910095,187.45552849769592
0.88238,0.0030391660237312317,187.41504859924316
0.88392,0.0029706474459171295,187.41812419891357
0.88522,0.002968680073916912,187.48466801643372
